source,target,weight
Alice,Chester McLaine,2
Alice,Coupris Kineema,2
Alice,DJ Flacio,1
Alice,DJ Mesh,1
Alice,Horrific Necktie,2
Alice,Jamrock Public Library,2
Alice,Jean Vicquemare,1
Alice,Judit Minot,1
Alice,Jules Pidieu,1
Alice,Kim Kitsuragi,5
Alice,Mack Torson,2
Alice,Nix Gottlieb,1
Alice,Sylvie,2
Alice,Tutorial Agent,1
Alice,You,7
Ancient Reptilian Brain,"Garte, the Cafeteria Manager",1
Ancient Reptilian Brain,Horrific Necktie,1
Ancient Reptilian Brain,Kim Kitsuragi,1
Ancient Reptilian Brain,"Lena, the Cryptozoologist's wife",1
Ancient Reptilian Brain,Limbic System,1
Ancient Reptilian Brain,You,1
Annette,Kim Kitsuragi,1
Annette,You,1
Bed,Tutorial Agent,1
Bed,You,1
Ceiling Fan,You,1
Chester McLaine,Coupris Kineema,1
Chester McLaine,Horrific Necktie,1
Chester McLaine,Jean Vicquemare,2
Chester McLaine,Judit Minot,2
Chester McLaine,Jules Pidieu,1
Chester McLaine,Kim Kitsuragi,2
Chester McLaine,Mack Torson,3
Chester McLaine,Nix Gottlieb,2
Chester McLaine,You,3
Cindy the SKULL,Horrific Necktie,1
Cindy the SKULL,Joyce Messier,1
Cindy the SKULL,Kim Kitsuragi,1
Cindy the SKULL,"Lilienne, the Net Picker",1
Cindy the SKULL,You,1
Coupris Kineema,DJ Flacio,1
Coupris Kineema,DJ Mesh,1
Coupris Kineema,Horrific Necktie,2
Coupris Kineema,Jamrock Public Library,1
Coupris Kineema,Jean Vicquemare,1
Coupris Kineema,Judit Minot,1
Coupris Kineema,Jules Pidieu,1
Coupris Kineema,Kim Kitsuragi,2
Coupris Kineema,Mack Torson,1
Coupris Kineema,Sylvie,1
Coupris Kineema,Tutorial Agent,1
Coupris Kineema,You,2
Cuno,Cunoesse,14
Cuno,"Garte, the Cafeteria Manager",1
Cuno,Horrific Necktie,3
Cuno,Ice Bear Fridge,1
Cuno,Kim Kitsuragi,14
Cuno,"Lena, the Cryptozoologist's wife",1
Cuno,The Hanged Man,4
Cuno,Trash Container,1
Cuno,Tutorial Agent,4
Cuno,You,16
Cunoesse,Horrific Necktie,3
Cunoesse,Ice Bear Fridge,1
Cunoesse,Kim Kitsuragi,13
Cunoesse,The Hanged Man,4
Cunoesse,Trash Container,1
Cunoesse,Tutorial Agent,3
Cunoesse,You,14
DJ Flacio,DJ Mesh,1
DJ Flacio,Horrific Necktie,1
DJ Flacio,Jamrock Public Library,1
DJ Flacio,Kim Kitsuragi,1
DJ Flacio,Sylvie,1
DJ Flacio,Tutorial Agent,1
DJ Flacio,You,1
DJ Mesh,Horrific Necktie,1
DJ Mesh,Jamrock Public Library,1
DJ Mesh,Kim Kitsuragi,1
