source,target,weight
Acele,Andre,7
Acele,Egg Head,6
Acele,Kim Kitsuragi,11
Acele,Noid,7
Acele,"Soona, the Programmer",5
Acele,You,11
Alain,Cuno,2
Alain,De Paule,1
Alain,Elizabeth,6
Alain,Eugene,14
Alain,Fat Angus,9
Alain,"Garte, the Cafeteria Manager",2
Alain,Glen,11
Alain,Kim Kitsuragi,14
Alain,Kortenaer,1
Alain,Ruud Hoenkloewen,1
Alain,Shanky,12
Alain,The Gardener,2
Alain,Theo,7
Alain,Titus Hardie,13
Alain,You,15
Alice,Chester McLaine,2
Alice,DJ Flacio,1
Alice,DJ Mesh,1
Alice,Jean Vicquemare,1
Alice,Judit Minot,1
Alice,Jules Pidieu,1
Alice,Kim Kitsuragi,5
Alice,Mack Torson,2
Alice,Nix Gottlieb,1
Alice,Sylvie,2
Alice,You,7
Alphonse the Scab,Sad Scab,1
Alphonse the Scab,Self-Educated Humanitarian,1
Alphonse the Scab,Strikebreaker,1
Andre,Egg Head,7
Andre,Kim Kitsuragi,8
Andre,Noid,8
Andre,"Soona, the Programmer",5
Andre,You,9
Annette,Kim Kitsuragi,1
Annette,You,1
Another Scab,Old Scab,1
Another Scab,Scab,1
Another Scab,Unemployed Person,1
Banger Scab,Former Coal Miner,1
Banger Scab,Probably a Migrant,1
Banger Scab,Right-to-Worker,1
Banger Scab,Scabette,1
Barry the Butcher,Kim Kitsuragi,1
Barry the Butcher,Man on water lock,1
Barry the Butcher,You,1
Bird's Nest Roy,Kim Kitsuragi,5
Bird's Nest Roy,You,5
Boy Strikebreaker,Right-to-Worker,1
Boy Strikebreaker,Scab,1
Boy Strikebreaker,Very Hard to Exploit Handicapped Person,1
Call Me Mañana,Kim Kitsuragi,2
Call Me Mañana,Scab Leader,1
Call Me Mañana,You,2
Chester McLaine,Cindy the SKULL,1
Chester McLaine,Civilian,1
Chester McLaine,Jean Vicquemare,3
Chester McLaine,Joyce Messier,1
Chester McLaine,Judit Minot,3
Chester McLaine,Jules Pidieu,1
Chester McLaine,Kim Kitsuragi,5
Chester McLaine,Mack Torson,6
Chester McLaine,Nix Gottlieb,3
Chester McLaine,Plaisance,1
Chester McLaine,You,6
Cindy the SKULL,Joyce Messier,2
Cindy the SKULL,Kim Kitsuragi,3
Cindy the SKULL,"Lilienne, the Net Picker",1
Cindy the SKULL,Mack Torson,1
Cindy the SKULL,You,3
Civilian,Kim Kitsuragi,1
Civilian,Mack Torson,1
Civilian,Plaisance,1
Civilian,You,1
Cleaning Lady,Kim Kitsuragi,2
Cleaning Lady,You,2
Cuno,Cunoesse,16
Cuno,Eugene,2
Cuno,"Garte, the Cafeteria Manager",1
Cuno,Jean Vicquemare,3
Cuno,Judit Minot,3
Cuno,Kim Kitsuragi,29
Cuno,"Lena, the Cryptozoologist's wife",1
Cuno,Smoker on the Balcony,1
Cuno,The Hanged Man,4
Cuno,Titus Hardie,1
Cuno,Trant Heidelstam,3
Cuno,You,31
Cuno's Dad,Kim Kitsuragi,1
Cuno's Dad,You,1
Cunoesse,Kim Kitsuragi,14
Cunoesse,The Hanged Man,4
Cunoesse,You,15
DJ Flacio,DJ Mesh,1
DJ Flacio,Kim Kitsuragi,1
DJ Flacio,Sylvie,1
DJ Flacio,You,1
DJ Mesh,Kim Kitsuragi,1
DJ Mesh,Sylvie,1
DJ Mesh,You,1
De Paule,Elizabeth,2
De Paule,Eugene,2
De Paule,"Garte, the Cafeteria Manager",2
De Paule,Glen,1
De Paule,Kim Kitsuragi,6
De Paule,Kortenaer,7
De Paule,Ruud Hoenkloewen,3
De Paule,Shanky,1
De Paule,The Gardener,5
De Paule,Titus Hardie,4
De Paule,You,7
Easy Leo,Kim Kitsuragi,1
Easy Leo,You,1
Echo Maker,Kim Kitsuragi,1
Echo Maker,"Steban, the Student Communist",1
Echo Maker,You,1
Egg Head,Kim Kitsuragi,6
Egg Head,Noid,7
Egg Head,"Soona, the Programmer",5
Egg Head,You,7
Elizabeth,Eugene,7
Elizabeth,Fat Angus,5
Elizabeth,"Garte, the Cafeteria Manager",4
Elizabeth,Glen,8
Elizabeth,Kim Kitsuragi,9
Elizabeth,Kortenaer,2
Elizabeth,Ruud Hoenkloewen,1
Elizabeth,Shanky,7
Elizabeth,The Gardener,2
Elizabeth,Theo,4
Elizabeth,Titus Hardie,9
Elizabeth,You,9
Eugene,Fat Angus,9
Eugene,"Garte, the Cafeteria Manager",3
Eugene,Glen,11
Eugene,Kim Kitsuragi,15
Eugene,Kortenaer,2
Eugene,Ruud Hoenkloewen,1
Eugene,Shanky,12
Eugene,The Gardener,3
Eugene,Theo,7
Eugene,Titus Hardie,15
Eugene,You,16
Evrart Claire,Kim Kitsuragi,10
Evrart Claire,You,11
Fat Angus,"Garte, the Cafeteria Manager",1
Fat Angus,Glen,9
Fat Angus,Kim Kitsuragi,8
Fat Angus,Shanky,9
Fat Angus,The Gardener,1
Fat Angus,Theo,6
Fat Angus,Titus Hardie,9
Fat Angus,You,9
Former Coal Miner,Mother of a Scab,1
Former Coal Miner,Probably a Migrant,2
Former Coal Miner,Right-to-Worker,1
Former Coal Miner,Scab,1
Former Coal Miner,Scabette,2
Former Coal Miner,Unemployed Person,1
Frittte clerk,Idiot Doom Spiral,1
Frittte clerk,Kim Kitsuragi,3
Frittte clerk,You,6
Fuck the World,Kim Kitsuragi,1
Fuck the World,Pissf****t,1
Fuck the World,You,1
"Garte, the Cafeteria Manager",Glen,4
"Garte, the Cafeteria Manager",Kim Kitsuragi,11
"Garte, the Cafeteria Manager",Kortenaer,3
"Garte, the Cafeteria Manager","Lena, the Cryptozoologist's wife",3
"Garte, the Cafeteria Manager","Morell, the Cryptozoologist",1
"Garte, the Cafeteria Manager",Ruud Hoenkloewen,1
"Garte, the Cafeteria Manager",Shanky,3
"Garte, the Cafeteria Manager",Sleeping Dockworker,1
"Garte, the Cafeteria Manager",The Gardener,2
"Garte, the Cafeteria Manager",Theo,2
"Garte, the Cafeteria Manager",Titus Hardie,4
"Garte, the Cafeteria Manager",You,11
"Gary, the Cryptofascist",Kim Kitsuragi,4
"Gary, the Cryptofascist","Lena, the Cryptozoologist's wife",3
"Gary, the Cryptofascist","Morell, the Cryptozoologist",3
"Gary, the Cryptofascist",You,4
Gaston Martin,Kim Kitsuragi,8
Gaston Martin,René Arnoux,10
Gaston Martin,You,10
Glen,Kim Kitsuragi,13
Glen,Kortenaer,1
Glen,Ruud Hoenkloewen,1
Glen,Shanky,13
Glen,The Gardener,1
Glen,Theo,7
Glen,Titus Hardie,13
Glen,You,14
Gorący Kubek,Kim Kitsuragi,1
Gorący Kubek,You,1
Horse-Faced Woman,Kim Kitsuragi,3
Horse-Faced Woman,Man with Sunglasses,3
Horse-Faced Woman,You,3
Idiot Doom Spiral,Kim Kitsuragi,2
Idiot Doom Spiral,Rosemary,2
Idiot Doom Spiral,You,3
Jean Vicquemare,Judit Minot,6
Jean Vicquemare,Jules Pidieu,1
Jean Vicquemare,Kim Kitsuragi,6
Jean Vicquemare,Mack Torson,3
Jean Vicquemare,Nix Gottlieb,2
Jean Vicquemare,Trant Heidelstam,3
Jean Vicquemare,You,7
Job Market Loser,Large Scab,1
Job Market Loser,Scab,1
Joyce Messier,Kim Kitsuragi,7
Joyce Messier,"Lilienne, the Net Picker",2
